algorithm,environment,epsilon,gamma,mean_score,planning_steps,start_state_value,study,success_rate
sarsa,,0.1,,0.8,,,epsilon_on_grid_world,0.8
sarsa,,0.3,,0.8,,,epsilon_on_grid_world,0.8
sarsa,,0.5,,0.6,,,epsilon_on_grid_world,0.6
sarsa,,0.8,,0.4,,,epsilon_on_grid_world,0.4
on_policy_first_visit_mc,,0.1,,0.4,,,epsilon_on_grid_world,0.4
on_policy_first_visit_mc,,0.3,,0.0,,,epsilon_on_grid_world,0.0
on_policy_first_visit_mc,,0.5,,0.0,,,epsilon_on_grid_world,0.0
on_policy_first_visit_mc,,0.8,,0.8,,,epsilon_on_grid_world,0.8
,,,,0.8,0,,planning_steps_on_grid_world,0.8
,,,,1.0,5,,planning_steps_on_grid_world,1.0
,,,,1.0,10,,planning_steps_on_grid_world,1.0
,,,,1.0,20,,planning_steps_on_grid_world,1.0
,,,,1.0,50,,planning_steps_on_grid_world,1.0
,line_world,,0.5,,,0.5,gamma_on_value_iteration,
,line_world,,0.9,,,0.9,gamma_on_value_iteration,
,line_world,,0.99,,,0.99,gamma_on_value_iteration,
,line_world,,0.999999,,,0.999999,gamma_on_value_iteration,
,grid_world,,0.5,,,0.0078125,gamma_on_value_iteration,
,grid_world,,0.9,,,0.47829690000000014,gamma_on_value_iteration,
,grid_world,,0.99,,,0.9320653479069899,gamma_on_value_iteration,
,grid_world,,0.999999,,,0.9999930000209998,gamma_on_value_iteration,
